P,N,E,Z,D
20002,2065750.301,6578271.688,176.846,WSE
20003,2065750.291,6578271.687,176.843,WSE
20004,2065750.287,6578271.692,176.853,WSE
20005,2065750.292,6578271.697,176.847,WSE
20006,2065750.302,6578271.69,176.844,WSE
20007,2065750.329,6578271.68,176.84,WSE
20015,2065749.855,6578293.498,176.899,WSE
20016,2065745.991,6578290.887,176.863,WSE
20017,2065744.907,6578288.723,176.881,WSE
20018,2065742.031,6578288.023,176.86,WSE
20019,2065737.738,6578286.534,176.879,WSE
20020,2065733.297,6578288.197,176.881,WSE
20021,2065731.798,6578291.606,176.873,WSE
20022,2065731.827,6578293.98,176.916,WSE
20023,2065728.433,6578297.237,176.873,WSE
20024,2065724.515,6578299.214,176.862,WSE
20025,2065721.334,6578296.547,176.881,WSE
20026,2065721.319,6578295.346,176.942,WSE
20027,2065718.398,6578293.992,176.947,WSE
20028,2065715.591,6578290.704,176.865,WSE
20029,2065713.047,6578286.183,176.846,WSE
20030,2065710.757,6578281.306,176.861,WSE
20031,2065709.095,6578276.681,176.863,WSE
20036,2065700.742,6578277.761,176.869,WSE
20037,2065699.831,6578282.583,176.825,WSE
20038,2065699.128,6578288.523,176.868,WSE
20039,2065699.198,6578295.268,176.928,WSE
20040,2065696.856,6578299.418,176.954,WSE
20041,2065696.161,6578297.281,176.869,WSE
20042,2065695.149,6578296.386,176.876,WSE
20043,2065692.667,6578293.908,176.814,WSE
20044,2065689.65,6578290.143,176.835,WSE
20045,2065685.493,6578288.24,176.817,WSE
20046,2065681.945,6578290.7,176.865,WSE
20047,2065680.851,6578294.927,176.885,WSE
20048,2065679.473,6578299.455,176.911,WSE
20049,2065677.554,6578304.492,176.859,WSE
20050,2065676.275,6578308.571,176.907,WSE
20051,2065673.446,6578313.181,176.811,WSE
20052,2065672.446,6578318.249,176.823,WSE
20053,2065670.023,6578323.091,176.882,WSE
20054,2065667.435,6578326.204,176.858,WSE
20055,2065669.214,6578329.542,176.855,WSE
20056,2065671.634,6578329.548,176.844,WSE
20057,2065671.207,6578327.544,176.877,WSE
20058,2065670.436,6578327.214,176.857,WSE
20059,2065671.805,6578326.059,176.924,WSE
20060,2065671.285,6578323.179,176.927,WSE
20061,2065671.529,6578319.09,176.853,WSE
20062,2065670.38,6578315.077,176.815,WSE
20063,2065668.142,6578312.017,176.804,WSE
20064,2065664.701,6578310.685,176.846,WSE
20065,2065659.451,6578311.219,176.844,WSE
20068,2065636.001,6578319.244,176.901,WSE
20069,2065629.717,6578320,176.849,WSE
20070,2065625.473,6578319.454,176.906,WSE
20071,2065621.23,6578317.32,176.832,WSE
20072,2065618.914,6578313.51,176.845,WSE
20073,2065617.809,6578308.977,176.822,WSE
20074,2065617.103,6578303.896,176.805,WSE
20075,2065617.497,6578298.669,176.809,WSE
20076,2065617.585,6578292.803,176.875,WSE
20077,2065619.527,6578287.306,176.835,WSE
20078,2065623.164,6578283.872,176.845,WSE
20079,2065626.557,6578281.201,176.797,WSE
20080,2065630.691,6578277.748,176.882,WSE
20081,2065635.851,6578275.409,176.82,WSE
20082,2065640.893,6578271.825,176.825,WSE
20086,2065662.251,6578260.58,176.866,WSE
20092,2065668.983,6578285.13,176.795,WSE
20094,2065659.837,6578303.275,176.822,WSE
20095,2065653.902,6578310.407,176.787,WSE
20100,2065624.31,6578339.826,176.93,WSE
20101,2065618.854,6578343.48,176.846,WSE
20102,2065613.207,6578346.215,176.887,WSE
20103,2065607.014,6578348.066,176.914,WSE
20109,2065568.219,6578353.238,176.943,WSE
20110,2065563.694,6578353.863,176.783,WSE
20113,2065553.54,6578347.203,176.862,WSE
20114,2065550.266,6578345.391,176.845,WSE
20115,2065547.341,6578342.645,176.828,WSE
20116,2065544.793,6578338.981,176.842,WSE
20117,2065543.148,6578334.84,176.846,WSE
20118,2065541.88,6578329.973,176.884,WSE
20119,2065540.749,6578324.56,176.824,WSE
20120,2065540.058,6578319.065,176.825,WSE
20121,2065539.873,6578313.832,176.84,WSE
20122,2065540.099,6578308.722,176.869,WSE
20123,2065541.956,6578304.43,176.87,WSE
20124,2065545.186,6578302.847,176.797,WSE
20125,2065548.061,6578301.695,176.824,WSE
20126,2065551.465,6578300.26,176.805,WSE
20128,2065558.359,6578296.604,176.895,WSE
20129,2065561.055,6578297.556,176.906,WSE
20130,2065563.965,6578296.314,176.842,WSE
20131,2065567.208,6578296.201,176.906,WSE
20132,2065570.746,6578295.369,176.896,WSE
20133,2065574.364,6578294.613,176.813,WSE
20134,2065578.436,6578293.626,176.904,WSE
20135,2065582.511,6578292.462,176.804,WSE
20136,2065585.218,6578291.968,176.796,WSE
20137,2065588.583,6578292.236,176.819,WSE
20138,2065592.337,6578291.066,176.813,WSE
20140,2065599.907,6578289.99,176.86,WSE
20141,2065601.975,6578292.095,176.89,WSE
20142,2065603.787,6578293.758,176.895,WSE
20143,2065606.597,6578295.9,176.776,WSE
20144,2065609.184,6578298.439,176.81,WSE
20145,2065610.706,6578301.215,176.902,WSE
20146,2065612.423,6578304.932,176.83,WSE
20147,2065612.35,6578308.712,176.845,WSE
20148,2065611.752,6578312.465,176.854,WSE
20149,2065610.673,6578316.09,176.792,WSE
20150,2065609.053,6578319.476,176.832,WSE
20151,2065606.48,6578322.227,176.86,WSE
20152,2065602.795,6578325.35,176.829,WSE
20153,2065598.36,6578327.752,176.874,WSE
20154,2065593.714,6578330.106,176.855,WSE
20155,2065588.446,6578332.275,176.863,WSE
20156,2065582.585,6578334.012,176.785,WSE
20157,2065576.01,6578334.887,176.838,WSE
20158,2065569.722,6578335.366,176.832,WSE
20159,2065563.477,6578335.976,176.831,WSE
20160,2065560.004,6578333.583,176.762,WSE
20161,2065557.268,6578331.808,176.796,WSE
20162,2065554.786,6578328.986,176.804,WSE
20163,2065553.706,6578325.615,176.837,WSE
20164,2065554.221,6578322.359,176.892,WSE
20165,2065555.893,6578319.958,176.82,WSE
20166,2065558.373,6578317.485,176.871,WSE
20167,2065561.938,6578314.702,176.865,WSE
20168,2065566.446,6578312.629,176.874,WSE
20169,2065571.353,6578309.923,176.887,WSE
20170,2065576.564,6578307.724,176.919,WSE
20171,2065582.121,6578304.971,176.872,WSE
20172,2065588.105,6578303.407,176.879,WSE
20173,2065594.022,6578302.351,176.865,WSE
20174,2065599.86,6578300.541,176.837,WSE
20175,2065605.903,6578298.364,176.864,WSE
20176,2065611.915,6578295.824,176.781,WSE
20178,2065624.217,6578292.162,176.824,WSE
20179,2065629.569,6578292.362,176.816,WSE
20180,2065634.914,6578292.055,176.857,WSE
20181,2065640.663,6578291.387,176.836,WSE
20182,2065646.497,6578290.063,176.809,WSE
20183,2065651.76,6578288.038,176.847,WSE
20184,2065656.188,6578288.048,176.817,WSE
20185,2065658.509,6578290.091,176.855,WSE
20186,2065657.781,6578292.581,176.799,WSE
20187,2065655.462,6578296.259,176.777,WSE
20188,2065651.854,6578299.824,176.835,WSE
20189,2065648.338,6578305.17,176.761,WSE
20190,2065644.781,6578310.906,176.864,WSE
20191,2065641.12,6578316.252,176.938,WSE
20192,2065636.809,6578322.114,176.845,WSE
20194,2065624.725,6578331.428,176.804,WSE
20196,2065610.126,6578337.303,176.88,WSE
20197,2065602.728,6578339.617,176.887,WSE
20198,2065595.108,6578340.976,176.833,WSE
20202,2065565.45,6578346.39,176.808,WSE
20206,2065543.747,6578360.987,176.781,WSE
20207,2065540.521,6578363.721,176.765,WSE
20208,2065536.904,6578365.005,176.897,WSE
20209,2065534.154,6578365.72,176.833,WSE
20210,2065530.927,6578367.04,176.865,WSE
20211,2065526.648,6578368.5,176.892,WSE
20212,2065521.84,6578370.07,176.846,WSE
20213,2065517.47,6578371.59,176.848,WSE
20214,2065513.797,6578372.38,176.788,WSE
20215,2065510.823,6578374.91,176.832,WSE
20216,2065507.407,6578376.595,176.874,WSE
20217,2065503.381,6578378.722,176.806,WSE
20218,2065498.858,6578381.14,176.783,WSE
20219,2065494.177,6578382.905,176.82,WSE
20220,2065489.346,6578384.565,176.909,WSE
20221,2065484.272,6578386.684,176.818,WSE
20222,2065479.009,6578389.446,176.847,WSE
20223,2065473.743,6578392.001,176.88,WSE
20224,2065468.748,6578394.975,176.818,WSE
20225,2065464.767,6578398.46,176.834,WSE
20226,2065460.417,6578400.411,176.851,WSE
20227,2065456.248,6578403.81,176.843,WSE
20228,2065451.795,6578407.02,176.857,WSE
20229,2065447.59,6578410.313,176.804,WSE
20230,2065443.83,6578413.529,176.85,WSE
20231,2065440.668,6578417.653,176.838,WSE
20232,2065438.074,6578420.665,176.829,WSE
20233,2065435.722,6578422.868,176.776,WSE
20235,2065433.761,6578425.215,176.816,WSE
20236,2065461.319,6578399.96,176.825,WSE
20237,2065466.474,6578375.998,176.849,WSE
20238,2065468.289,6578374.914,176.867,WSE
20239,2065469.87,6578373.762,176.824,WSE
20240,2065471.131,6578372.511,176.84,WSE
20241,2065472.164,6578371.345,176.807,WSE
20242,2065472.965,6578370.37,176.819,WSE
20243,2065474.987,6578369.446,176.861,WSE
20244,2065477.452,6578368.571,176.857,WSE
20245,2065479.789,6578367.7,176.825,WSE
20246,2065481.805,6578366.728,176.813,WSE
20247,2065483.488,6578365.611,176.863,WSE
20248,2065484.795,6578364.399,176.852,WSE
20249,2065485.825,6578363.081,176.836,WSE
20250,2065486.562,6578361.872,176.827,WSE
20251,2065487.142,6578360.884,176.832,WSE
20252,2065487.899,6578360.038,176.834,WSE
20253,2065488.988,6578359.05,176.815,WSE
20254,2065490.156,6578357.939,176.803,WSE
20255,2065491.325,6578356.752,176.79,WSE
20256,2065492.289,6578355.524,176.809,WSE
20257,2065492.872,6578354.333,176.806,WSE
20258,2065493.151,6578353.103,176.82,WSE
20259,2065493.225,6578351.825,176.82,WSE
20260,2065493.098,6578350.544,176.833,WSE
20261,2065492.757,6578349.317,176.856,WSE
20262,2065492.3,6578348.201,176.819,WSE
20263,2065491.965,6578347.008,176.813,WSE
20264,2065491.773,6578345.712,176.809,WSE
20265,2065491.59,6578344.332,176.814,WSE
20266,2065491.253,6578342.925,176.823,WSE
20267,2065490.821,6578341.603,176.834,WSE
20268,2065490.247,6578340.155,176.8,WSE
20269,2065489.627,6578338.754,176.811,WSE
20270,2065489.104,6578337.378,176.835,WSE
20271,2065488.676,6578336.159,176.858,WSE
20272,2065488.38,6578335.123,176.833,WSE
20273,2065488.192,6578334.204,176.831,WSE
20274,2065488.067,6578333.293,176.865,WSE
20275,2065488.131,6578332.527,176.863,WSE
20276,2065488.405,6578331.828,176.834,WSE
20277,2065488.83,6578331.144,176.839,WSE
20279,2065489.827,6578330.071,176.845,WSE
20280,2065490.406,6578329.575,176.846,WSE
20281,2065491.101,6578329.045,176.836,WSE
20282,2065491.746,6578328.559,176.832,WSE
20283,2065492.347,6578328.1,176.828,WSE
20284,2065492.871,6578327.708,176.823,WSE
20285,2065493.38,6578327.374,176.837,WSE
20286,2065493.894,6578327.021,176.835,WSE
20287,2065494.587,6578326.637,176.813,WSE
20288,2065495.428,6578326.152,176.817,WSE
20289,2065496.43,6578325.515,176.818,WSE
20290,2065497.597,6578324.83,176.819,WSE
20291,2065498.849,6578324.201,176.808,WSE
20292,2065500.318,6578323.584,176.832,WSE
20293,2065502.034,6578323.059,176.835,WSE
20294,2065503.786,6578322.687,176.826,WSE
20295,2065505.573,6578322.452,176.828,WSE
20296,2065507.243,6578322.292,176.848,WSE
20297,2065508.961,6578322.165,176.815,WSE
20298,2065510.626,6578322.097,176.837,WSE
20299,2065512.187,6578321.956,176.856,WSE
20300,2065513.601,6578321.838,176.821,WSE
20301,2065514.926,6578321.633,176.828,WSE
20302,2065516.126,6578321.499,176.854,WSE
20303,2065517.174,6578321.359,176.867,WSE
20304,2065518.152,6578321.257,176.853,WSE
20305,2065519.05,6578321.172,176.849,WSE
20306,2065519.944,6578321.078,176.842,WSE
20307,2065520.736,6578320.998,176.833,WSE
20308,2065521.468,6578321.044,176.822,WSE
20309,2065522.192,6578320.98,176.839,WSE
20310,2065522.961,6578320.93,176.84,WSE
20311,2065524.004,6578320.969,176.814,WSE
20312,2065525.254,6578321.068,176.824,WSE
20313,2065526.482,6578320.698,176.801,WSE
20314,2065528.235,6578319.745,176.839,WSE
20315,2065531.094,6578318.839,176.865,WSE
20316,2065534.267,6578318.427,176.831,WSE
20317,2065536.971,6578318.246,176.847,WSE
20318,2065539.091,6578319.814,176.872,WSE
20319,2065538.515,6578322.296,176.805,WSE
20320,2065538.352,6578323.601,176.862,WSE
20321,2065539.654,6578325.826,176.834,WSE
20322,2065540.739,6578329.042,176.836,WSE
20323,2065541.201,6578332.272,176.817,WSE
20324,2065540.07,6578334.48,176.823,WSE
20325,2065538.624,6578335.447,176.859,WSE
20326,2065536.497,6578337.176,176.835,WSE
20327,2065533.3,6578339.035,176.829,WSE
20328,2065529.712,6578341.387,176.825,WSE
20329,2065525.564,6578343.822,176.843,WSE
20330,2065520.489,6578345.774,176.885,WSE
20331,2065515.145,6578348.338,176.787,WSE
20332,2065509.877,6578350.728,176.798,WSE
20334,2065498.817,6578354.864,176.871,WSE
20335,2065493.877,6578357.144,176.821,WSE
20336,2065489.403,6578359.154,176.853,WSE
20337,2065485.249,6578359.673,176.811,WSE
20338,2065481.916,6578359.639,176.858,WSE
20339,2065477.796,6578360.546,176.851,WSE
20340,2065473.892,6578360.222,176.857,WSE
20341,2065470.443,6578359.264,176.837,WSE
20342,2065467.419,6578358.201,176.857,WSE
20343,2065464.412,6578356.828,176.847,WSE
20344,2065461.57,6578354.312,176.837,WSE
20345,2065459.156,6578351.105,176.835,WSE
20346,2065456.743,6578347.204,176.868,WSE
20347,2065454.271,6578342.996,176.831,WSE
20348,2065452.306,6578338.591,176.81,WSE
20349,2065450.906,6578333.976,176.829,WSE
20350,2065449.902,6578328.885,176.827,WSE
20351,2065448.381,6578324.071,176.779,WSE
20352,2065446.674,6578319.51,176.857,WSE
20353,2065445.27,6578314.448,176.831,WSE
20354,2065444.106,6578309.333,176.799,WSE
20355,2065443.269,6578304.056,176.867,WSE
20356,2065441.962,6578299.115,176.814,WSE
20357,2065440.576,6578295.198,176.828,WSE
20359,2065440.634,6578287.506,176.809,WSE
20360,2065442.395,6578284.368,176.834,WSE
20361,2065445.684,6578282.963,176.827,WSE
20362,2065447.792,6578282.601,176.845,WSE
20363,2065449.139,6578282.274,176.882,WSE
20364,2065452.093,6578280.864,176.841,WSE
20365,2065455.733,6578279.783,176.858,WSE
20366,2065459.857,6578279.571,176.889,WSE
20367,2065464.533,6578279.261,176.837,WSE
20368,2065469.087,6578279.4,176.805,WSE
20369,2065473.381,6578280.012,176.841,WSE
20370,2065478.134,6578280.084,176.781,WSE
20371,2065482.416,6578280.542,176.83,WSE
20372,2065486.326,6578280.991,176.851,WSE
20373,2065489.876,6578281.646,176.846,WSE
20374,2065493.502,6578281.131,176.865,WSE
20375,2065496.678,6578280.494,176.864,WSE
20376,2065498.593,6578282.43,176.87,WSE
20377,2065499.277,6578283.624,176.856,WSE
20378,2065501.071,6578284.543,176.842,WSE
20379,2065503.438,6578285.983,176.864,WSE
20380,2065505.257,6578288.117,176.875,WSE
20381,2065508.421,6578289.236,176.874,WSE
20382,2065511.496,6578289.582,176.898,WSE
20383,2065514.112,6578289.755,176.896,WSE
20384,2065516.429,6578289.769,176.876,WSE
20385,2065518.572,6578289.632,176.864,WSE
20386,2065520.599,6578289.305,176.873,WSE
20387,2065523.457,6578289.888,176.845,WSE
20388,2065526.383,6578290.544,176.853,WSE
20389,2065529.441,6578291.025,176.865,WSE
20390,2065531.836,6578292.302,176.881,WSE
20391,2065534.024,6578293.462,176.85,WSE
20392,2065535.972,6578294.342,176.858,WSE
20393,2065538.019,6578294.631,176.856,WSE
20394,2065539.92,6578295.251,176.865,WSE
20395,2065542.495,6578294.477,176.899,WSE
20396,2065544.552,6578293.942,176.852,WSE
20397,2065546.241,6578294.027,176.852,WSE
20398,2065547.408,6578294.715,176.881,WSE
20399,2065547.099,6578296.673,176.834,WSE
20400,2065547.423,6578298.17,176.888,WSE
20401,2065546.814,6578300.322,176.804,WSE
