Pt name,North,East,Ground,WSE,Elevation_recorded,Depth,Code,Notes
20002,2065750.301,6578271.688,173.106,176.846,176.446,3.74,BATH,
20003,2065750.291,6578271.687,173.267,176.843,176.443,3.576,BATH,
20004,2065750.287,6578271.692,173.375,176.853,176.453,3.478,BATH,
20005,2065750.292,6578271.697,173.172,176.847,176.447,3.675,BATH,
20006,2065750.302,6578271.69,173.169,176.844,176.444,3.675,BATH,
20007,2065750.329,6578271.68,173.395,176.84,176.44,3.445,BATH,
20015,2065749.855,6578293.498,174.898,176.899,176.499,2.001,BATH,
20016,2065745.991,6578290.887,173.681,176.863,176.463,3.182,BATH,
20017,2065744.907,6578288.723,174.256,176.881,176.481,2.625,BATH,
20018,2065742.031,6578288.023,174.465,176.86,176.46,2.395,BATH,
20019,2065737.738,6578286.534,174.582,176.879,176.479,2.297,BATH,
20020,2065733.297,6578288.197,174.355,176.881,176.481,2.526,BATH,
20021,2065731.798,6578291.606,173.494,176.873,176.473,3.379,BATH,
20022,2065731.827,6578293.98,172.749,176.916,176.516,4.167,BATH,
20023,2065728.433,6578297.237,172.542,176.873,176.473,4.331,BATH,
20024,2065724.515,6578299.214,173.384,176.862,176.462,3.478,BATH,
20025,2065721.334,6578296.547,172.091,176.881,176.481,4.79,BATH,
20026,2065721.319,6578295.346,172.218,176.942,176.542,4.724,BATH,
20027,2065718.398,6578293.992,171.927,176.947,176.547,5.02,BATH,
20028,2065715.591,6578290.704,172.666,176.865,176.465,4.199,BATH,
20029,2065713.047,6578286.183,173.696,176.846,176.446,3.15,BATH,
20030,2065710.757,6578281.306,174.728,176.861,176.461,2.133,BATH,
20031,2065709.095,6578276.681,174.862,176.863,176.463,2.001,BATH,
20036,2065700.742,6578277.761,174.474,176.869,176.469,2.395,BATH,
20037,2065699.831,6578282.583,174.397,176.825,176.425,2.428,BATH,
20038,2065699.128,6578288.523,173.489,176.868,176.468,3.379,BATH,
20039,2065699.198,6578295.268,172.4,176.928,176.528,4.528,BATH,
20040,2065696.856,6578299.418,171.737,176.954,176.554,5.217,BATH,
20041,2065696.161,6578297.281,171.652,176.869,176.469,5.217,BATH,
20042,2065695.149,6578296.386,171.791,176.876,176.476,5.085,BATH,
20043,2065692.667,6578293.908,172.188,176.814,176.414,4.626,BATH,
20044,2065689.65,6578290.143,172.767,176.835,176.435,4.068,BATH,
20045,2065685.493,6578288.24,173.372,176.817,176.417,3.445,BATH,
20046,2065681.945,6578290.7,172.567,176.865,176.465,4.298,BATH,
20047,2065680.851,6578294.927,172.193,176.885,176.485,4.692,BATH,
20048,2065679.473,6578299.455,171.793,176.911,176.511,5.118,BATH,
20049,2065677.554,6578304.492,171.577,176.859,176.459,5.282,BATH,
20050,2065676.275,6578308.571,171.986,176.907,176.507,4.921,BATH,
20051,2065673.446,6578313.181,171.693,176.811,176.411,5.118,BATH,
20052,2065672.446,6578318.249,171.541,176.823,176.423,5.282,BATH,
20053,2065670.023,6578323.091,171.764,176.882,176.482,5.118,BATH,
20054,2065667.435,6578326.204,171.838,176.858,176.458,5.02,BATH,
20055,2065669.214,6578329.542,172.459,176.855,176.455,4.396,BATH,
20056,2065671.634,6578329.548,172.907,176.844,176.444,3.937,BATH,
20057,2065671.207,6578327.544,171.857,176.877,176.477,5.02,BATH,
20058,2065670.436,6578327.214,172.428,176.857,176.457,4.429,BATH,
20059,2065671.805,6578326.059,172.298,176.924,176.524,4.626,BATH,
20060,2065671.285,6578323.179,171.842,176.927,176.527,5.085,BATH,
20061,2065671.529,6578319.09,171.833,176.853,176.453,5.02,BATH,
20062,2065670.38,6578315.077,171.697,176.815,176.415,5.118,BATH,
20063,2065668.142,6578312.017,171.423,176.804,176.404,5.381,BATH,
20064,2065664.701,6578310.685,171.17,176.846,176.446,5.676,BATH,
20065,2065659.451,6578311.219,171.201,176.844,176.444,5.643,BATH,
20068,2065636.001,6578319.244,169.289,176.901,176.501,7.612,BATH,
20069,2065629.717,6578320,168.778,176.849,176.449,8.071,BATH,
20070,2065625.473,6578319.454,168.245,176.906,176.506,8.661,BATH,
20071,2065621.23,6578317.32,168.072,176.832,176.432,8.76,BATH,
20072,2065618.914,6578313.51,168.479,176.845,176.445,8.366,BATH,
20073,2065617.809,6578308.977,167.833,176.822,176.422,8.989,BATH,
20074,2065617.103,6578303.896,168.34,176.805,176.405,8.465,BATH,
20075,2065617.497,6578298.669,169.296,176.809,176.409,7.513,BATH,
20076,2065617.585,6578292.803,169.854,176.875,176.475,7.021,BATH,
20077,2065619.527,6578287.306,170.47,176.835,176.435,6.365,BATH,
20078,2065623.164,6578283.872,171.661,176.845,176.445,5.184,BATH,
20079,2065626.557,6578281.201,172.368,176.797,176.397,4.429,BATH,
20080,2065630.691,6578277.748,173.043,176.882,176.482,3.839,BATH,
20081,2065635.851,6578275.409,173.572,176.82,176.42,3.248,BATH,
20082,2065640.893,6578271.825,174.332,176.825,176.425,2.493,BATH,
20086,2065662.251,6578260.58,174.34,176.866,176.466,2.526,BATH,
20092,2065668.983,6578285.13,172.956,176.795,176.395,3.839,BATH,
20094,2065659.837,6578303.275,170.392,176.822,176.422,6.43,BATH,
20095,2065653.902,6578310.407,169.504,176.787,176.387,7.283,BATH,
20100,2065624.31,6578339.826,174.83,176.93,176.53,2.1,BATH,
20101,2065618.854,6578343.48,171.465,176.846,176.446,5.381,BATH,
20102,2065613.207,6578346.215,170.85,176.887,176.487,6.037,BATH,
20103,2065607.014,6578348.066,171.632,176.914,176.514,5.282,BATH,
20109,2065568.219,6578353.238,171.3,176.943,176.543,5.643,BATH,
20110,2065563.694,6578353.863,169.368,176.783,176.383,7.415,BATH,
20113,2065553.54,6578347.203,168.791,176.862,176.462,8.071,BATH,
20114,2065550.266,6578345.391,167.527,176.845,176.445,9.318,BATH,
20115,2065547.341,6578342.645,166.953,176.828,176.428,9.875,BATH,
20116,2065544.793,6578338.981,166.737,176.842,176.442,10.105,BATH,
20117,2065543.148,6578334.84,162.968,176.846,176.446,13.878,BATH,
20118,2065541.88,6578329.973,160.939,176.884,176.484,15.945,BATH,
20119,2065540.749,6578324.56,162.552,176.824,176.424,14.272,BATH,
20120,2065540.058,6578319.065,162.652,176.825,176.425,14.173,BATH,
20121,2065539.873,6578313.832,163.421,176.84,176.44,13.419,BATH,
20122,2065540.099,6578308.722,164.008,176.869,176.469,12.861,BATH,
20123,2065541.956,6578304.43,164.304,176.87,176.47,12.566,BATH,
20124,2065545.186,6578302.847,164.592,176.797,176.397,12.205,BATH,
20125,2065548.061,6578301.695,164.619,176.824,176.424,12.205,BATH,
20126,2065551.465,6578300.26,165.453,176.805,176.405,11.352,BATH,
20128,2065558.359,6578296.604,166.659,176.895,176.495,10.236,BATH,
20129,2065561.055,6578297.556,166.44,176.906,176.506,10.466,BATH,
20130,2065563.965,6578296.314,166.507,176.842,176.442,10.335,BATH,
20131,2065567.208,6578296.201,167.228,176.906,176.506,9.678,BATH,
20132,2065570.746,6578295.369,167.086,176.896,176.496,9.81,BATH,
20133,2065574.364,6578294.613,167.135,176.813,176.413,9.678,BATH,
20134,2065578.436,6578293.626,167.783,176.904,176.504,9.121,BATH,
20135,2065582.511,6578292.462,168.274,176.804,176.404,8.53,BATH,
20136,2065585.218,6578291.968,168.627,176.796,176.396,8.169,BATH,
20137,2065588.583,6578292.236,168.486,176.819,176.419,8.333,BATH,
20138,2065592.337,6578291.066,169.037,176.813,176.413,7.776,BATH,
20140,2065599.907,6578289.99,170.134,176.86,176.46,6.726,BATH,
20141,2065601.975,6578292.095,169.803,176.89,176.49,7.087,BATH,
20142,2065603.787,6578293.758,169.579,176.895,176.495,7.316,BATH,
20143,2065606.597,6578295.9,169.066,176.776,176.376,7.71,BATH,
20144,2065609.184,6578298.439,168.739,176.81,176.41,8.071,BATH,
20145,2065610.706,6578301.215,168.241,176.902,176.502,8.661,BATH,
20146,2065612.423,6578304.932,168.07,176.83,176.43,8.76,BATH,
20147,2065612.35,6578308.712,167.987,176.845,176.445,8.858,BATH,
20148,2065611.752,6578312.465,167.569,176.854,176.454,9.285,BATH,
20149,2065610.673,6578316.09,167.31,176.792,176.392,9.482,BATH,
20150,2065609.053,6578319.476,167.022,176.832,176.432,9.81,BATH,
20151,2065606.48,6578322.227,167.149,176.86,176.46,9.711,BATH,
20152,2065602.795,6578325.35,166.822,176.829,176.429,10.007,BATH,
20153,2065598.36,6578327.752,166.31,176.874,176.474,10.564,BATH,
20154,2065593.714,6578330.106,166.848,176.855,176.455,10.007,BATH,
20155,2065588.446,6578332.275,167.447,176.863,176.463,9.416,BATH,
20156,2065582.585,6578334.012,167.008,176.785,176.385,9.777,BATH,
20157,2065576.01,6578334.887,167.028,176.838,176.438,9.81,BATH,
20158,2065569.722,6578335.366,166.661,176.832,176.432,10.171,BATH,
20159,2065563.477,6578335.976,165.807,176.831,176.431,11.024,BATH,
20160,2065560.004,6578333.583,164.787,176.762,176.362,11.975,BATH,
20161,2065557.268,6578331.808,166.133,176.796,176.396,10.663,BATH,
20162,2065554.786,6578328.986,164.501,176.804,176.404,12.303,BATH,
20163,2065553.706,6578325.615,165.026,176.837,176.437,11.811,BATH,
20164,2065554.221,6578322.359,164.589,176.892,176.492,12.303,BATH,
20165,2065555.893,6578319.958,163.467,176.82,176.42,13.353,BATH,
20166,2065558.373,6578317.485,164.24,176.871,176.471,12.631,BATH,
20167,2065561.938,6578314.702,165.349,176.865,176.465,11.516,BATH,
20168,2065566.446,6578312.629,165.391,176.874,176.474,11.483,BATH,
20169,2065571.353,6578309.923,165.404,176.887,176.487,11.483,BATH,
20170,2065576.564,6578307.724,167.241,176.919,176.519,9.678,BATH,
20171,2065582.121,6578304.971,166.012,176.872,176.472,10.86,BATH,
20172,2065588.105,6578303.407,166.708,176.879,176.479,10.171,BATH,
20173,2065594.022,6578302.351,168.007,176.865,176.465,8.858,BATH,
20174,2065599.86,6578300.541,168.504,176.837,176.437,8.333,BATH,
20175,2065605.903,6578298.364,168.596,176.864,176.464,8.268,BATH,
20176,2065611.915,6578295.824,168.907,176.781,176.381,7.874,BATH,
20178,2065624.217,6578292.162,170.984,176.824,176.424,5.84,BATH,
20179,2065629.569,6578292.362,171.173,176.816,176.416,5.643,BATH,
20180,2065634.914,6578292.055,171.739,176.857,176.457,5.118,BATH,
20181,2065640.663,6578291.387,172.046,176.836,176.436,4.79,BATH,
20182,2065646.497,6578290.063,172.085,176.809,176.409,4.724,BATH,
20183,2065651.76,6578288.038,171.86,176.847,176.447,4.987,BATH,
20184,2065656.188,6578288.048,171.797,176.817,176.417,5.02,BATH,
20185,2065658.509,6578290.091,172.229,176.855,176.455,4.626,BATH,
20186,2065657.781,6578292.581,171.156,176.799,176.399,5.643,BATH,
20187,2065655.462,6578296.259,170.347,176.777,176.377,6.43,BATH,
