P,N,E,P,V,D
1,2194854.183,6214462.193,1,2.67,1.85
2,2194908.752,6214510.389,2,3.06,1.725
3,2194935.762,6214556.377,3,3.55,2.3
4,2194953.338,6214591.856,4,2.8,1.95
5,2194982.825,6214672.612,5,1.83,2.45
6,2194992.07,6214745.02,6,2.17,2.65
7,2195007.6,6214827.871,7,2.3,2.5
8,2195005.044,6214893.685,8,3.89,1.2
9,2195039.206,6215097.761,9,1.71,2.2
10,2195026.918,6215180.519,10,2.22,1.7
11,2195005.134,6215227.315,11,2.84,0.7
12,2194978.888,6215260.013,12,2.74,2.05
13,2194950.55,6215311.38,13,1.89,2.4
14,2194917.961,6215394.604,14,2.05,3
15,2194899.658,6215430.916,15,2.33,1.3
16,2194905.389,6215473.982,16,0.48,1.3
17,2194881.382,6215467.505,17,2.97,1.8
18,2194887.153,6215534.425,18,1.8,1.75
19,2194875.76,6215582.582,19,3.06,2
20,2194862.021,6215641.49,20,2.93,0.95
21,2194835.6,6215700.04,21,3.41,1.75
22,2194807.672,6215751.14,22,3.97,1.3
23,2194755.923,6215819.824,23,3.95,1.3
24,2194731.19,6215881.061,24,3.09,1.75
25,2194692.525,6215944.855,25,3.6,2.65
26,2194677.592,6215995.577,26,3.89,1.3
27,2194632.922,6216105.629,27,1.25,2.1
28,2194609.12,6216173.97,28,1.51,0.8
29,2194588.626,6216236.279,29,1.91,1.4
30,2194569.881,6216302.563,30,1.82,1.9
31,2194575.225,6216342.423,31,1.71,2.9
32,2194575.763,6216367.221,32,1.88,2.4
33,2194548.818,6216392.192,33,0.76,2.25
34,2194562.232,6216444.925,34,2.31,1.3
35,2194559.693,6216500.722,35,1.71,2.15
36,2194555.794,6216556.233,36,1.31,1.65
37,2194550.333,6216606.858,37,1.2,2.81
38,2194530.903,6216664.953,38,1.57,2.65
39,2194523.109,6216737.709,39,1.65,0.8
40,2194517.94,6216800.858,40,2.1,0.8
41,2194539.928,6216864.435,41,6.5,1.6
42,2194606.088,6216966.12,42,4.05,1.45
43,2194584.931,6217048.356,43,1.72,2.1
44,2194571.335,6217108.363,44,3.05,1.1
45,2194555.43,6217150.876,45,3.64,1.15
46,2194489.038,6217305.275,46,1.58,3
47,2194466.094,6217347.059,47,2.69,1.1
48,2194437.609,6217397.081,48,3.52,1.5
49,2194404.137,6217468.682,49,2.38,1.6
50,2194378.669,6217538.017,50,2.77,1.05
51,2194349.725,6217586.963,51,1.59,1.05
52,2194331.326,6217665.362,52,3.36,1.15
53,2194279.404,6217720.705,53,2.35,1
54,2194230.563,6217786.515,54,2.49,1.45
55,2194201.215,6217837.517,55,2.96,1.1
56,2194184.073,6217936.231,56,1.69,2.5
57,2194166.823,6217966.443,57,1.7,1.9
58,2194135.737,6218000.908,58,1.66,1.15
59,2194102.408,6218044.549,59,2.24,1.15
60,2194070.417,6218073.216,60,2.15,1.3
61,2194027.433,6218113.595,61,2.27,1.3
62,2193991.023,6218159.421,62,1.89,1.4
63,2193954.302,6218201.614,63,2.03,1.2
64,2193939.884,6218258.226,64,5.32,1.35
65,2193890.765,6218330.271,65,2.6,1.35
66,2193868.173,6218362.855,66,2.94,1.4
67,2193836.385,6218403.524,67,2.6,1.4
68,2193800.22,6218435.929,68,2.21,1.75
69,2193773.673,6218482.627,69,1.91,2.15
70,2193731.114,6218512.89,70,2.1,1.4
71,2193624.382,6218636.342,71,1.9,1.6
72,2193592.688,6218667.588,72,1.8,1.8
