P,N,E,Z,D
4003,2270435.127,6096868.82,351.74,WSE
4004,2270446.49,6096871.057,351.743,WSE
4041,2270449.558,6096865.785,351.772,WSE
4005,2270440.894,6096865.528,351.811,WSE
4006,2270436.037,6096860.733,351.986,WSE
4043,2270435.844,6096860.863,351.99,WSE
4009,2270447.719,6096857.421,352.028,WSE
4007,2270444.169,6096860.144,352.043,WSE
4049,2270451.641,6096852.692,352.09,WSE
4008,2270451.837,6096860.716,352.092,WSE
4014,2270451.8,6096854.849,352.092,WSE
4047,2270452.816,6096857.084,352.092,WSE
4057,2270441.161,6096840.163,352.093,WSE
4010,2270443.52,6096855.84,352.103,WSE
4013,2270447.377,6096854.446,352.11,WSE
4045,2270444.869,6096856.953,352.116,WSE
4012,2270442.435,6096852.289,352.124,WSE
4051,2270436.635,6096854.414,352.137,WSE
4059,2270447.78,6096835.202,352.199,WSE
4011,2270439.026,6096853.733,352.2,WSE
4016,2270447.169,6096848.375,352.2,WSE
4017,2270442.653,6096845.468,352.203,WSE
4053,2270443.441,6096846.452,352.214,WSE
4018,2270439.795,6096840.297,352.217,WSE
4055,2270449.918,6096843.819,352.217,WSE
4015,2270450.171,6096850.336,352.218,WSE
4020,2270453.598,6096841.558,352.222,WSE
4024,2270443.554,6096824.339,352.234,WSE
4067,2270445.468,6096824.717,352.238,WSE
4019,2270446.243,6096839.834,352.263,WSE
4061,2270444.606,6096832.174,352.283,WSE
4082,2270445.285,6096826.687,352.285,WSE
4021,2270451.44,6096835.088,352.295,WSE
4069,2270448.631,6096823.278,352.454,WSE
4065,2270450.808,6096828.169,352.457,WSE
4063,2270452.388,6096830.407,352.49,WSE
4023,2270450.017,6096826.084,352.668,WSE
4071,2270445.775,6096821.175,352.806,WSE
4025,2270444,6096819.588,352.833,WSE
4080,2270445.676,6096819.985,352.913,WSE
4073,2270441.95,6096817.76,352.932,WSE
4026,2270450.005,6096817.213,352.942,WSE
4075,2270447.758,6096817.84,352.949,WSE
4077,2270452.903,6096815.643,353.002,WSE
4028,2270447.255,6096812.158,353.011,WSE
4027,2270451.66,6096812.688,353.056,WSE
4078,2270449.672,6096816.887,353.081,WSE
4030,2270450.961,6096808.346,353.297,WSE
4029,2270442.785,6096808.814,353.355,WSE
4032,2270452.684,6096803.574,353.382,WSE
4031,2270446.372,6096803.505,353.391,WSE
4109,2270463.948,6096789.773,353.908,WSE
4117,2270461.257,6096781.108,353.91,WSE
4103,2270457.065,6096795.299,353.958,WSE
4123,2270472.204,6096775.042,353.961,WSE
4139,2270484.203,6096786.151,353.975,WSE
4119,2270464.347,6096780.549,353.997,WSE
4135,2270480.228,6096778.323,354.001,WSE
4137,2270482.832,6096782.105,354.002,WSE
4107,2270458.042,6096786.938,354.006,WSE
4141,2270486.779,6096781.921,354.01,WSE
4143,2270486.247,6096785.213,354.01,WSE
4101,2270460.324,6096797.61,354.019,WSE
4133,2270481.565,6096775.186,354.024,WSE
4145,2270489.681,6096782.908,354.024,WSE
4105,2270452.308,6096788.746,354.026,WSE
4121,2270465.258,6096772.298,354.029,WSE
4153,2270495.856,6096789.398,354.036,WSE
4111,2270470.115,6096790.535,354.039,WSE
4149,2270491.992,6096786.757,354.042,WSE
4147,2270488.281,6096787.586,354.045,WSE
4115,2270463.405,6096783.813,354.046,WSE
4157,2270499.177,6096795.177,354.046,WSE
4151,2270494.258,6096785.516,354.054,WSE
4155,2270496.121,6096789.474,354.055,WSE
4113,2270466.935,6096785.339,354.067,WSE
4125,2270475.8,6096773.766,354.072,WSE
4179,2270519.196,6096796.079,354.084,WSE
4171,2270511.694,6096796.457,354.103,WSE
4161,2270504.306,6096799.834,354.105,WSE
4163,2270506.416,6096795.694,354.108,WSE
4177,2270520.61,6096801.216,354.114,WSE
4159,2270505.554,6096796.039,354.119,WSE
4169,2270513.492,6096802.092,354.123,WSE
4167,2270513.119,6096806.016,354.128,WSE
4165,2270510.843,6096801.205,354.134,WSE
4173,2270514.5,6096794.947,354.148,WSE
4175,2270518.559,6096799.256,354.181,WSE
4181,2270521.66,6096787.828,354.32,WSE
4035,2270445.761,6096795.267,354.359,WSE
4183,2270523.276,6096785.993,354.47,WSE
4185,2270526.668,6096784.093,354.714,WSE
4033,2270456.319,6096801.733,354.751,WSE
4034,2270453.118,6096799.241,355.069,WSE
4186,2270527.214,6096781.031,355.146,WSE
4188,2270531.578,6096779.131,355.218,WSE
4190,2270532.625,6096770.964,355.241,WSE
4192,2270535.342,6096763.816,355.258,WSE
4196,2270540.042,6096753.739,355.338,WSE
4194,2270536.825,6096757.326,355.408,WSE
4198,2270546.264,6096749.88,355.593,WSE
4202,2270538.445,6096740.855,355.713,WSE
4200,2270546.319,6096744.894,355.79,WSE
4204,2270540.912,6096732.646,356.619,WSE
4206,2270539.415,6096727.729,356.773,WSE
4212,2270535.526,6096712.528,357.443,WSE
4214,2270541.484,6096701.559,357.459,WSE
4211,2270534.633,6096706.006,357.49,WSE
4218,2270533.521,6096687.717,358.034,WSE
4220,2270531.489,6096679.73,358.091,WSE
4224,2270522.147,6096659.806,358.187,WSE
4233,2270517.904,6096642.202,358.187,WSE
4235,2270523.595,6096648.501,358.205,WSE
4226,2270526.773,6096650.984,358.226,WSE
4222,2270530.41,6096666.791,358.228,WSE
4237,2270523.917,6096656.046,358.245,WSE
4228,2270517.499,6096637.63,358.261,WSE
4231,2270516.035,6096631.091,359.289,WSE
