P,N,E,Z,D,Depth,Velocity
4079,2270444.161,6096821.088,352.271,DV,0.6,2.6
4081,2270443.567,6096826.112,351.155,DV,1.2,2.5
4083,2270450.412,6096829.241,351.746,DV,0.7,2
4084,2270451.294,6096836.056,351.702,DV,0.5,1.2
4085,2270446.541,6096836.775,351.178,DV,1,0.8
4086,2270442.936,6096836.397,351.594,DV,0.7,2.2
4087,2270441.429,6096839.966,350.849,DV,1.3,1
4088,2270445.155,6096842.979,351.129,DV,1.1,1.1
4089,2270441.187,6096846.118,351.215,DV,1,0.9
4090,2270447.486,6096847.698,351.393,DV,0.7,1.4
4091,2270442.074,6096848.571,351.658,DV,0.6,1
4092,2270440.122,6096852.145,351.112,DV,0.9,1.2
4093,2270439.435,6096870.746,351.054,DV,0.7,2.4
4094,2270446.616,6096872.025,350.844,DV,0.8,2.7
4100,2270462.341,6096797.273,352.994,DV,1,0.3
4102,2270457.547,6096793.92,352.599,DV,1.5,0.3
4104,2270453.53,6096789.43,352.448,DV,1.5,0.4
4106,2270458.868,6096787.96,352.286,DV,1.6,0.3
4108,2270462.872,6096787.956,352.451,DV,1.5,0.4
4110,2270471.731,6096791.177,352.23,DV,1.7,0.3
4112,2270468.269,6096785.946,352.668,DV,1.3,0.3
4114,2270463.726,6096782.572,352.515,DV,1.5,0.3
4116,2270460.247,6096779.434,351.29,DV,2.7,0.3
4118,2270464.069,6096779.214,351.407,DV,2.6,0.1
4120,2270464.62,6096773.161,352.147,DV,1.8,0.4
4122,2270473.643,6096776.745,350.434,DV,3.5,0
4124,2270476.452,6096775.416,352.728,DV,1.3,1.1
4126,2270476.795,6096770.224,353.123,DV,0.8,0
4127,2270466.568,6096768.354,352.98,DV,0.9,0
4128,2270463.151,6096770.591,352.736,DV,1.2,0
4132,2270481.646,6096773.172,353.029,DV,0.4,0
4134,2270481.463,6096777.457,352.87,DV,1.1,2.1
4136,2270481.914,6096783.271,352.719,DV,1.3,1
4138,2270484.795,6096787.617,353.085,DV,1,2.1
4140,2270486.576,6096780.352,353.073,DV,0.9,1.4
4142,2270487.363,6096785.832,352.815,DV,1.1,0.8
4144,2270491.237,6096783.369,353.32,DV,0.8,2.1
4146,2270489.312,6096787.966,352.79,DV,1.1,2
4148,2270493.306,6096786.555,353.408,DV,0.7,3.7
4152,2270495.427,6096791.266,352.768,DV,1.2,3.9
4154,2270498.681,6096789.684,353.344,DV,0.7,1.9
4156,2270499.782,6096797.011,352.792,DV,1.3,2.3
4158,2270503.928,6096794.478,353.146,DV,0.9,1.5
4160,2270505.333,6096802.026,353.52,DV,0.9,2.1
4162,2270507.633,6096796.703,352.914,DV,1.2,1.5
4164,2270512.561,6096801.005,353.368,DV,0.8,3.3
4166,2270514.853,6096806.363,353.184,DV,0.8,0.5
4168,2270514.937,6096800.395,353.22,DV,1,3.4
4170,2270514.098,6096796.02,352.769,DV,1.3,1.3
4172,2270517.47,6096796.3,353.394,DV,0.8,3.9
4174,2270519.888,6096798.119,352.749,DV,1.3,1.6
4176,2270523.622,6096799.184,353.286,DV,0.8,0.8
4178,2270521.392,6096794.692,353.184,DV,1.1,3.7
4180,2270523.848,6096788.213,353.534,DV,0.9,4.6
4182,2270528.249,6096788.032,353.754,DV,0.8,2.1
4187,2270533.185,6096780.417,354.196,DV,1,2.3
4189,2270534.54,6096772.47,354.373,DVbad,0.9,5.1
4191,2270538.566,6096764.875,354.095,DV,1.2,2.3
4193,2270539.637,6096758.283,354.466,DVbad,1,5.1
4197,2270547.483,6096751.152,354.873,DV,0.7,3.5
4199,2270548.136,6096743.435,354.971,DV,0.7,4.5
4201,2270540.794,6096742.367,355.397,DV,0.5,3.9
4203,2270543.643,6096733.399,355.738,DV,0.7,1.4
4209,2270539.187,6096716.441,356.733,DV,0.7,2.4
4210,2270536.61,6096708.304,356.658,DV,0.8,3.9
4213,2270544.235,6096701.674,355.37,DV,2.1,1.9
4215,2270535.412,6096696.728,356.908,DV,0.7,2.7
4219,2270534.76,6096677.444,356.844,DV,1.2,3.8
4221,2270532.717,6096665.537,356.732,DV,1.4,1.3
4223,2270524.512,6096658.978,357.176,DV,1.1,1.5
4225,2270524.675,6096649.198,356.811,DV,1.4,2.9
4227,2270518.379,6096635.475,357.461,DV,0.7,2.6
4232,2270520.077,6096637.911,357.201,DV,1,3.6
4234,2270525.645,6096646.792,356.547,DV,1.6,1.6
4236,2270524.839,6096653.623,356.895,DV,1.4,2.8
4238,2270525.371,6096660.987,357.261,DV,0.8,1.9
